Transaction Date,Post Date,Description,Category,Type, Amount ,Memo
7/1/2024,7/1/2024,Offer:Dollar General,Fees & Adjustments,Adjustment, $1.50 ,
7/2/2024,7/4/2024,Touchtunes.helpshift.com,Entertainment,Sale, $(15.00),TouchTunes St. Pete
7/3/2024,7/3/2024,UBER   TRIP,Transportation,Sale, $(37.91),
7/5/2024,7/7/2024,UBER   TRIP,Transportation,Sale, $(26.92),
7/5/2024,7/7/2024,UBER   TRIP,Transportation,Sale, $(6.25),
7/5/2024,7/7/2024,UBER   TRIP,Transportation,Sale, $(16.97),
7/8/2024,7/9/2024,Spectrum,Bills & Utilities,Sale, $(46.99),
7/9/2024,7/10/2024,AHI HIBACHI &amp; POKE,Food & Drink,Sale, $(14.77),
7/9/2024,7/10/2024,DOLLAR GENERAL #25811,Food & Drink,Sale, $(10.06),
7/11/2024,7/12/2024,PAIZANOS ITALIAN BISTR,Food & Drink,Sale, $(51.00),
7/11/2024,7/12/2024,DOUBLE OAKS GOLF CLUB,Entertainment,Sale, $(62.40),Golf w/ Kaylee
7/11/2024,7/12/2024,DOLLAR GENERAL #25811,Food & Drink,Sale, $(9.06),
7/11/2024,7/11/2024,WP TRIPS,Shopping,Sale, $(89.00),WorldPackers
7/12/2024,7/14/2024,ACCGOV *WBO WATER BILL,Bills & Utilities,Sale, $(87.34),
7/14/2024,7/16/2024,QT 776,Gas,Sale, $(13.84),
7/14/2024,7/16/2024,QT 776,Gas,Sale, $(25.00),
7/14/2024,7/15/2024,SUNSET GRILLE,Food & Drink,Sale, $(8.00),
7/14/2024,7/15/2024,WALGREENS #7764,Health & Wellness,Sale, $(19.45),
7/15/2024,7/17/2024,EINSTEIN BROS BAGELS3108,Food & Drink,Sale, $(11.42),
7/15/2024,7/16/2024,DAIRY QUEEN #41248,Food & Drink,Sale, $(9.54),
7/16/2024,7/17/2024,WORKAWAY,Travel,Sale, $(57.50),
7/16/2024,7/17/2024,AIR CANADA  0144269783502,Travel,Sale, $(30.00),
7/24/2024,7/25/2024,NAKUSP GENERAL STORE,Shopping,Sale, $(8.95),
7/26/2024,7/28/2024,7-ELEVEN STORE #37898,Food & Drink,Sale, $(1.52),
8/1/2024,8/4/2024,#337 SPORT CHEK,Shopping,Sale, $(54.51),
8/1/2024,8/2/2024,COMPASS VENDING,Food & Drink,Sale, $(3.37),
8/1/2024,8/2/2024,COMPASS ACCOUNT,Food & Drink,Sale, $(2.32),
8/2/2024,8/2/2024,COMPASS VENDING,Food & Drink,Sale, $(2.32),
8/3/2024,8/5/2024,WENDY'S 90,Food & Drink,Sale, $(6.78),
8/3/2024,8/5/2024,QT 734,Food & Drink,Sale, $(6.24),
8/3/2024,8/5/2024,QT 734,Gas,Sale, $(36.75),
8/4/2024,8/6/2024,CEVICHE TAQUERIA,Food & Drink,Sale, $(24.90),
8/4/2024,8/5/2024,WALGREENS #6999,Health & Wellness,Sale, $(5.85),
8/5/2024,8/7/2024,TST*PURE TAQUERIA - BROO,Food & Drink,Sale, $(43.78),
8/5/2024,8/6/2024,ADDA ONLINE,Bills & Utilities,Sale, $(40.00),
8/6/2024,8/8/2024,AMICALOLA FALLS STATE,Travel,Sale, $(5.00),
8/6/2024,8/7/2024,CKE*CANYONS BURGER C 335,Food & Drink,Sale, $(21.73),
8/6/2024,8/7/2024,GEORGIA POWER COMPANY,Bills & Utilities,Sale, $(342.28),
8/7/2024,8/9/2024,TRUIST PARK CONCESSIONS,Food & Drink,Sale, $(18.48),
8/7/2024,8/9/2024,TRUIST PARK TERRAPIN TAPR,Food & Drink,Sale, $(18.96),
8/8/2024,8/11/2024,QT 776,Gas,Sale, $(38.77),
8/8/2024,8/11/2024,QT 776,Food & Drink,Sale, $(8.76),
8/8/2024,8/9/2024,NIC*-LEXCO TRAFFIC COU,Bills & Utilities,Sale, $(78.80),
8/8/2024,8/9/2024,JASON'S DELI-ATF-067,Food & Drink,Sale, $(17.05),
8/8/2024,8/8/2024,STUBHUB INC,Entertainment,Sale, $(207.40),AC/DC
8/10/2024,8/11/2024,BASS PRO STORE LAWRENCEV,Shopping,Sale, $(238.46),
8/11/2024,8/13/2024,RACETRAC2524  00025247,Food & Drink,Sale, $(7.29),
8/11/2024,8/13/2024,FLIX,Transportation,Sale, $(82.98),
8/11/2024,8/12/2024,981 GREAT CLIPS AT PEACHT,Health & Wellness,Sale, $(24.00),
8/12/2024,8/13/2024,3744-MNTR RELAY POST-S,Food & Drink,Sale, $(19.76),
8/12/2024,8/13/2024,MR. PRETZELS,Food & Drink,Sale, $(5.86),
8/13/2024,8/14/2024,JOE AND JOE,Accomodation,Sale, $(318.24),
8/13/2024,8/14/2024,AUTEUIL MARKET,Groceries,Sale, $(3.15),
8/13/2024,8/14/2024,SNCF,Transportation,Sale, $(78.77),
8/14/2024,8/16/2024,UGC BORNES BERCY2412499,Entertainment,Sale, $(14.19),Movie
8/14/2024,8/16/2024,SPICE RESTO,Food & Drink,Sale, $(5.39),
8/14/2024,8/16/2024,MONOPRIX        4652978,Groceries,Sale, $(3.23),
8/14/2024,8/15/2024,LE FOURNIL DE FR,Food & Drink,Sale, $(6.60),
8/15/2024,8/16/2024,Dott pass,Transportation,Sale, $(5.51),
8/15/2024,8/16/2024,LES SAVEURS DU  4023059,Food & Drink,Sale, $(3.87),
8/15/2024,8/16/2024,Dott bike ride,Transportation,Sale, $(1.93),
8/15/2024,8/16/2024,Dott bike ride,Transportation,Sale, $(1.93),
8/16/2024,8/18/2024,MOMOTAJ 2,Food & Drink,Sale, $(8.71),
8/16/2024,8/18/2024,Dott bike ride,Transportation,Sale, $(1.93),
8/16/2024,8/18/2024,Dott bike ride,Transportation,Sale, $(1.93),
8/16/2024,8/18/2024,AU SAFIR DE PAR,Food & Drink,Sale, $(4.96),
8/16/2024,8/18/2024,Dott bike ride,Transportation,Sale, $(1.93),
8/16/2024,8/18/2024,Dott bike ride,Transportation,Sale, $(1.93),
8/17/2024,8/18/2024,MUSEE ORSAY SANC2362412,Entertainment,Sale, $(15.45),Musee D'Orsay
8/17/2024,8/18/2024,MONOPRIX        4652978,Groceries,Sale, $(5.99),
8/17/2024,8/18/2024,B4E,Food & Drink,Sale, $(5.52),
8/17/2024,8/18/2024,B4E,Food & Drink,Sale, $(4.96),
8/17/2024,8/18/2024,BELLECHASSE SOU 4093311,Food & Drink,Sale, $(8.83),
8/18/2024,8/20/2024,BASILIQUE SC,Entertainment,Sale, $(8.83),Sacred Heart Dome
8/18/2024,8/19/2024,PRESTIGE 46,Food & Drink,Sale, $(11.03),
8/18/2024,8/19/2024,Dott bike ride,Transportation,Sale, $(1.93),
8/18/2024,8/19/2024,SANABILE,Food & Drink,Sale, $(4.19),
8/18/2024,8/19/2024,MONOPRIX        4653054,Groceries,Sale, $(3.85),
8/19/2024,8/21/2024,SPICE RESTO,Food & Drink,Sale, $(7.06),
8/19/2024,8/21/2024,CARREFOUR CITY  2125295,Groceries,Sale, $(2.14),
8/19/2024,8/20/2024,SESAR           4732981,Shopping,Sale, $(6.29),
8/19/2024,8/20/2024,PAPET ECOLE MILI2495190,Shopping,Sale, $(7.06),
8/19/2024,8/20/2024,SELECTA SAS,Groceries,Sale, $(1.65),
8/19/2024,8/20/2024,FRANPRIX 6106,Groceries,Sale, $(6.23),
8/19/2024,8/20/2024,Dott bike ride,Transportation,Sale, $(3.65),
8/19/2024,8/20/2024,JO AND JOE PARIS NATION,Travel,Sale, $(7.72),
8/19/2024,8/20/2024,HOTEL LA COMTESS,Accomodation,Sale, $(13.24),
8/20/2024,8/22/2024,PUB SHAMROCK,Food & Drink,Sale, $(21.62),
8/20/2024,8/21/2024,BAECKEREI PFOESS GMBH,Food & Drink,Sale, $(4.05),
8/20/2024,8/21/2024,Meininger Hotelerrichtung,Accomodation,Sale, $(29.10),
8/20/2024,8/21/2024,Hofer Dankt,Groceries,Sale, $(9.08),
8/20/2024,8/21/2024,BAECKEREI BRANDNER,Food & Drink,Sale, $(3.27),
8/20/2024,8/21/2024,Meininger Hotelerrichtung,Travel,Sale, $(5.43),
8/20/2024,8/20/2024,BOUNCE - USEBOUNCE.COM,Travel,Sale, $(7.37),
8/21/2024,8/23/2024,OBUS SALZBURG,Travel,Sale, $(5.23),
8/21/2024,8/23/2024,PUB SHAMROCK,Food & Drink,Sale, $(7.24),
8/21/2024,8/22/2024,TABAK TRAFIK PRIBIL,Food & Drink,Sale, $(5.45),
8/21/2024,8/22/2024,TANKSTELLE ANIF,Food & Drink,Sale, $(9.64),
8/21/2024,8/22/2024,Meininger Hotelerrichtung,Food & Drink,Sale, $(10.91),
8/21/2024,8/22/2024,Meininger Hotelerrichtung,Accomodation,Sale, $(53.43),
8/21/2024,8/22/2024,Hofer Dankt,Groceries,Sale, $(0.50),
8/21/2024,8/22/2024,McDonalds 55,Food & Drink,Sale, $(17.70),
8/22/2024,8/25/2024,IRISH PUB O'MALLEYS,Food & Drink,Sale, $(5.81),
8/22/2024,8/23/2024,ZWETTLERS WIRTSHAUS,Food & Drink,Sale, $(164.26),
8/22/2024,8/23/2024,BILLA DANKT 0005001,Groceries,Sale, $(3.34),
8/22/2024,8/23/2024,PUB SHAMROCK,Food & Drink,Sale, $(7.26),
8/22/2024,8/23/2024,Hofer Dankt,Groceries,Sale, $(11.02),
8/22/2024,8/23/2024,PUB SHAMROCK,Food & Drink,Sale, $(7.24),
8/22/2024,8/23/2024,Salzburger Verkehr,Entertainment,Sale, $(43.58),-$10.90
8/23/2024,8/25/2024,Ottakringer Stand,Food & Drink,Sale, $(6.59),
